Crime ID,Month,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category
e7b720d0e1302d2d06db7b28b29132eb194864d44d79218a566f03d9e3c790f6,2024-01,-0.10622,51.518275,On or near B500,E01000916,Camden 027B,Theft from the person,Investigation complete; no suspect identified
e60a5ac62a80e866453254474137c3206417422c62f0c074fb17b1fd4ac6e9bf,2024-01,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Other theft,Investigation complete; no suspect identified
986f618142ec52b7f254e4b0549da2f17ceeb0e130db6c348f50439272306f06,2024-01,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified
05dc27a88748356f6d59b0bd1389710ebfb42b37e565af2f3e00318fcfaeee59,2024-01,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Theft from the person,Status update unavailable
373d78e2ccec5d05a547cd4bee19045a9e050042a0e6e7a8808c770378b82b94,2024-01,-0.112096,51.515942,On or near Nightclub,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified
85fc7e4e213c6ba2f084c41321c3fb3958bef5c4cd45afa6a780fb2b1ae0b239,2024-01,-0.096367,51.515355,On or near Foster Lane,E01000001,City of London 001A,Burglary,Unable to prosecute suspect
47d0da7d63ea6d3967743d1277f9171428e62f6e355bf9d77bd9854d8ced7c1f,2024-01,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Robbery,Investigation complete; no suspect identified
90866e1d31d3412b13d68bad4fd3935ce219ea15c758fa395edf7f89397dac4c,2024-01,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified
8fdf610d48006a7c137dcbc103cf8fda3f1b4ff9f0b8f2e77622cf6d2a5418d6,2024-01,-0.097078,51.519045,On or near A1,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified
321849acb9f8071d017f127455d7869a68f66369ab4f40cec6555e86dff3ac21,2024-01,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified
ec6cee95c8f98f4448214f33d89a8a2f3a3bf0727818bbfc0390dc7c4330a39a,2024-01,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Other theft,Status update unavailable
68bcb29c540a310c4b1b8f75dfac0db64dd2a51f4a8870f1fde15afa7ce85d48,2024-01,-0.096718,51.515511,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified
1559aab6b1994579fc979037dc2e95f1f5e2381734d35b5034f649808f19da13,2024-01,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified
065b28c31c5163c96b821257074f13d4d3a7b470e5735d0237d4a4d15d979102,2024-01,-0.091649,51.518938,On or near Park/Open Space,E01000002,City of London 001B,Bicycle theft,Investigation complete; no suspect identified
bf336154c71619b942afad3bea683ec41ea28e9cc33337648a93911055d0d95b,2024-01,-0.092488,51.520598,On or near Silk Street,E01000002,City of London 001B,Bicycle theft,Investigation complete; no suspect identified
b2ddfc9648051d95d11e6a31b8254c94e6faf6553b84d1c40c2fe20c875a9e92,2024-01,-0.095026,51.518499,On or near Park/Open Space,E01000002,City of London 001B,Bicycle theft,Investigation complete; no suspect identified
30bcd7051bb7a3f17f98fb4003dc52ce6f65570938042de7c9ffc0913f8f7278,2024-01,-0.09413,51.519961,On or near Theatre/Concert Hall,E01000002,City of London 001B,Bicycle theft,Investigation complete; no suspect identified
43ab4980441f4de706186a363c9bcff84b96156ba7a9009f90971595676e6834,2024-01,-0.09413,51.519961,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified
c035bb3943180c2517c3055a31d28ad56483e4e48917d0a4cd284702a218b5cd,2024-01,-0.09413,51.519961,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified
bff8e31a308222afd10e0b4ff70413819811fc30a2d44ffb1b726354500e8ee6,2024-01,-0.094655,51.517369,On or near Parking Area,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified
7d0980b0af7d433517bd6da54d4391ab96f94bc2e14a966036dfb00da10818e7,2024-01,-0.092488,51.520598,On or near Silk Street,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified
d8a08e913ca4919a769f1c4224993ab66ccd45dc01060ed623ce8f017f23eb6a,2024-01,-0.090553,51.518948,On or near Moor Lane,E01000002,City of London 001B,Shoplifting,Court result unavailable
